,1-Wire/iButton Part Number: DS1923,
1-Wire/iButton Registration Number: C20000002BB97B41,,
Mission in Progress?  true,,
SUTA Mission?  false,,
Waiting for Temperature Alarm?  false,,
Sample Rate:  Every 3600 second(s),,
Mission Start Time:  Thu May 30 11:08:01 CST 2013,,
Mission Sample Count:  503,,
Roll Over Enabled?  true(no rollover occurred),,
First Sample Timestamp:  Thu May 30 11:08:01 CST 2013,,
Total Mission Samples:  503,,
Total Device Samples:  7742,,
Temperature Logging:  0.0625 C,,
Temperature High Alarm:  disabled,,
Temperature Low Alarm:  disabled,,
Data Logging:  0.04 %RH,,
Data High Alarm:  disabled,,
Data Low Alarm:  disabled,,
,,
Date/Time,Unit,Value
06/12/2013 07:08,%RH,94.774
06/12/2013 08:08,%RH,75.683
06/12/2013 09:08,%RH,71.309
06/12/2013 10:08,%RH,55.01
06/12/2013 11:08,%RH,49.54
06/12/2013 12:08,%RH,55.01
06/12/2013 13:08,%RH,42.354
06/12/2013 14:08,%RH,42.036
06/12/2013 15:08,%RH,41.082
06/12/2013 16:08,%RH,48.151
06/12/2013 17:08,%RH,59.907
06/12/2013 18:08,%RH,85.011
06/12/2013 19:08,%RH,97.261
06/12/2013 20:08,%RH,97.729
06/12/2013 21:08,%RH,97.963
06/12/2013 22:08,%RH,98.429
06/12/2013 23:08,%RH,98.08
06-13-13 12:08:01 AM,%RH,97.963
06-13-13 01:08:01 AM,%RH,99.24
06-13-13 02:08:01 AM,%RH,98.545
06-13-13 03:08:01 AM,%RH,100.161
06-13-13 04:08:01 AM,%RH,99.125
06-13-13 05:08:01 AM,%RH,99.471
06-13-13 06:08:01 AM,%RH,99.24
06-13-13 07:08:01 AM,%RH,98.196
06-13-13 08:08:01 AM,%RH,92.607
06-13-13 09:08:01 AM,%RH,78.895
06-13-13 10:08:01 AM,%RH,69.221
06-13-13 11:08:01 AM,%RH,55.61
06-13-13 12:08:01 PM,%RH,54.71
06-13-13 01:08:01 PM,%RH,66.544
06-13-13 02:08:01 PM,%RH,53.806
06-13-13 03:08:01 PM,%RH,59.613
06-13-13 04:08:01 PM,%RH,68.941
06-13-13 05:08:01 PM,%RH,78.762
06-13-13 06:08:01 PM,%RH,94.894
06-13-13 07:08:01 PM,%RH,96.909
06-13-13 08:08:01 PM,%RH,97.729
06-13-13 09:08:01 PM,%RH,98.08
06-13-13 10:08:01 PM,%RH,98.313
06-13-13 11:08:01 PM,%RH,99.587
06-14-13 12:08:01 AM,%RH,99.817
06-14-13 01:08:01 AM,%RH,100.276
06-14-13 02:08:01 AM,%RH,99.702
06-14-13 03:08:01 AM,%RH,100.391
06-14-13 04:08:01 AM,%RH,100.62
06-14-13 05:08:01 AM,%RH,100.505
06-14-13 06:08:01 AM,%RH,100.62
06-14-13 07:08:01 AM,%RH,98.893
06-14-13 08:08:01 AM,%RH,85.902
06-14-13 09:08:01 AM,%RH,71.723
06-14-13 10:08:01 AM,%RH,67.958
06-14-13 11:08:01 AM,%RH,66.969
06-14-13 12:08:01 PM,%RH,59.172
06-14-13 01:08:01 PM,%RH,51.226
06-14-13 02:08:01 PM,%RH,54.71
06-14-13 03:08:01 PM,%RH,61.077
06-14-13 04:08:01 PM,%RH,55.61
06-14-13 05:08:01 PM,%RH,77.163
06-14-13 06:08:01 PM,%RH,92.97
06-14-13 07:08:01 PM,%RH,96.437
06-14-13 08:08:01 PM,%RH,96.673
06-14-13 09:08:01 PM,%RH,98.196
06-14-13 10:08:01 PM,%RH,98.661
06-14-13 11:08:01 PM,%RH,99.356
06-15-13 12:08:01 AM,%RH,99.587
06-15-13 01:08:01 AM,%RH,99.471
06-15-13 02:08:01 AM,%RH,100.391
06-15-13 03:08:01 AM,%RH,99.702
06-15-13 04:08:01 AM,%RH,99.932
06-15-13 05:08:01 AM,%RH,100.161
06-15-13 06:08:01 AM,%RH,100.505
06-15-13 07:08:01 AM,%RH,99.817
06-15-13 08:08:01 AM,%RH,90.405
06-15-13 09:08:01 AM,%RH,74.055
06-15-13 10:08:01 AM,%RH,67.958
06-15-13 11:08:01 AM,%RH,58.139
06-15-13 12:08:01 PM,%RH,54.108
06-15-13 01:08:01 PM,%RH,58.435
06-15-13 02:08:01 PM,%RH,60.785
06-15-13 03:08:01 PM,%RH,52.596
06-15-13 04:08:01 PM,%RH,54.259
06-15-13 05:08:01 PM,%RH,72.137
06-15-13 06:08:01 PM,%RH,85.521
06-15-13 07:08:01 PM,%RH,93.333
06-15-13 08:08:01 PM,%RH,96.555
06-15-13 09:08:01 PM,%RH,97.729
06-15-13 10:08:01 PM,%RH,97.378
06-15-13 11:08:01 PM,%RH,98.196
06-16-13 12:08:01 AM,%RH,98.429
06-16-13 01:08:01 AM,%RH,98.661
06-16-13 02:08:01 AM,%RH,98.661
06-16-13 03:08:01 AM,%RH,100.161
06-16-13 04:08:01 AM,%RH,98.08
06-16-13 05:08:01 AM,%RH,99.009
06-16-13 06:08:01 AM,%RH,99.471
06-16-13 07:08:01 AM,%RH,97.729
06-16-13 08:08:01 AM,%RH,89.044
06-16-13 09:08:01 AM,%RH,82.306
06-16-13 10:08:01 AM,%RH,72.412
06-16-13 11:08:01 AM,%RH,57.843
06-16-13 12:08:01 PM,%RH,57.101
06-16-13 01:08:01 PM,%RH,73.373
06-16-13 02:08:01 PM,%RH,69.361
06-16-13 03:08:01 PM,%RH,75.007
06-16-13 04:08:01 PM,%RH,80.084
06-16-13 05:08:01 PM,%RH,85.138
06-16-13 06:08:01 PM,%RH,87.92
06-16-13 07:08:01 PM,%RH,93.695
